,Series_Title,Released_Year,Certificate,Genre,All_Stars,runtime_in_minutes,IMDB_Rating,Meta_score,Director,No_of_Votes,Gross
199,Ah-ga-ssi,2016,A,Romance,Kim Min-hee,145,8.1,84.0,Chan-wook Park,113649,"2,006,788"
199,Ah-ga-ssi,2016,A,Romance,Jung-woo Ha,145,8.1,84.0,Chan-wook Park,113649,"2,006,788"
199,Ah-ga-ssi,2016,A,Romance,Cho Jin-woong,145,8.1,84.0,Chan-wook Park,113649,"2,006,788"
199,Ah-ga-ssi,2016,A,Romance,Moon So-Ri,145,8.1,84.0,Chan-wook Park,113649,"2,006,788"
199,Ah-ga-ssi,2016,A,Thriller,Kim Min-hee,145,8.1,84.0,Chan-wook Park,113649,"2,006,788"
199,Ah-ga-ssi,2016,A,Thriller,Jung-woo Ha,145,8.1,84.0,Chan-wook Park,113649,"2,006,788"
199,Ah-ga-ssi,2016,A,Thriller,Cho Jin-woong,145,8.1,84.0,Chan-wook Park,113649,"2,006,788"
199,Ah-ga-ssi,2016,A,Thriller,Moon So-Ri,145,8.1,84.0,Chan-wook Park,113649,"2,006,788"
200,Mommy,2014,R,Drama,Anne Dorval,139,8.1,74.0,Xavier Dolan,50700,"3,492,754"
200,Mommy,2014,R,Drama,Antoine Olivier Pilon,139,8.1,74.0,Xavier Dolan,50700,"3,492,754"
200,Mommy,2014,R,Drama,Suzanne Clément,139,8.1,74.0,Xavier Dolan,50700,"3,492,754"
200,Mommy,2014,R,Drama,Patrick Huard,139,8.1,74.0,Xavier Dolan,50700,"3,492,754"
201,Haider,2014,UA,Action,Shahid Kapoor,160,8.1,,Vishal Bhardwaj,50445,"901,610"
201,Haider,2014,UA,Action,Tabu,160,8.1,,Vishal Bhardwaj,50445,"901,610"
201,Haider,2014,UA,Action,Shraddha Kapoor,160,8.1,,Vishal Bhardwaj,50445,"901,610"
201,Haider,2014,UA,Action,Kay Kay Menon,160,8.1,,Vishal Bhardwaj,50445,"901,610"
201,Haider,2014,UA,Crime,Shahid Kapoor,160,8.1,,Vishal Bhardwaj,50445,"901,610"
201,Haider,2014,UA,Crime,Tabu,160,8.1,,Vishal Bhardwaj,50445,"901,610"
201,Haider,2014,UA,Crime,Shraddha Kapoor,160,8.1,,Vishal Bhardwaj,50445,"901,610"
201,Haider,2014,UA,Crime,Kay Kay Menon,160,8.1,,Vishal Bhardwaj,50445,"901,610"
201,Haider,2014,UA,Drama,Shahid Kapoor,160,8.1,,Vishal Bhardwaj,50445,"901,610"
201,Haider,2014,UA,Drama,Tabu,160,8.1,,Vishal Bhardwaj,50445,"901,610"
201,Haider,2014,UA,Drama,Shraddha Kapoor,160,8.1,,Vishal Bhardwaj,50445,"901,610"
201,Haider,2014,UA,Drama,Kay Kay Menon,160,8.1,,Vishal Bhardwaj,50445,"901,610"
202,Logan,2017,A,Action,Hugh Jackman,137,8.1,77.0,James Mangold,647884,"226,277,068"
202,Logan,2017,A,Action,Patrick Stewart,137,8.1,77.0,James Mangold,647884,"226,277,068"
202,Logan,2017,A,Action,Dafne Keen,137,8.1,77.0,James Mangold,647884,"226,277,068"
202,Logan,2017,A,Action,Boyd Holbrook,137,8.1,77.0,James Mangold,647884,"226,277,068"
202,Logan,2017,A,Drama,Hugh Jackman,137,8.1,77.0,James Mangold,647884,"226,277,068"
202,Logan,2017,A,Drama,Patrick Stewart,137,8.1,77.0,James Mangold,647884,"226,277,068"
202,Logan,2017,A,Drama,Dafne Keen,137,8.1,77.0,James Mangold,647884,"226,277,068"
202,Logan,2017,A,Drama,Boyd Holbrook,137,8.1,77.0,James Mangold,647884,"226,277,068"
202,Logan,2017,A,Sci-Fi,Hugh Jackman,137,8.1,77.0,James Mangold,647884,"226,277,068"
202,Logan,2017,A,Sci-Fi,Patrick Stewart,137,8.1,77.0,James Mangold,647884,"226,277,068"
202,Logan,2017,A,Sci-Fi,Dafne Keen,137,8.1,77.0,James Mangold,647884,"226,277,068"
202,Logan,2017,A,Sci-Fi,Boyd Holbrook,137,8.1,77.0,James Mangold,647884,"226,277,068"
203,Room,2015,R,Drama,Brie Larson,118,8.1,86.0,Lenny Abrahamson,371538,"14,677,674"
203,Room,2015,R,Drama,Jacob Tremblay,118,8.1,86.0,Lenny Abrahamson,371538,"14,677,674"
203,Room,2015,R,Drama,Sean Bridgers,118,8.1,86.0,Lenny Abrahamson,371538,"14,677,674"
203,Room,2015,R,Drama,Wendy Crewson,118,8.1,86.0,Lenny Abrahamson,371538,"14,677,674"
203,Room,2015,R,Thriller,Brie Larson,118,8.1,86.0,Lenny Abrahamson,371538,"14,677,674"
203,Room,2015,R,Thriller,Jacob Tremblay,118,8.1,86.0,Lenny Abrahamson,371538,"14,677,674"
203,Room,2015,R,Thriller,Sean Bridgers,118,8.1,86.0,Lenny Abrahamson,371538,"14,677,674"
203,Room,2015,R,Thriller,Wendy Crewson,118,8.1,86.0,Lenny Abrahamson,371538,"14,677,674"
204,Relatos salvajes,2014,R,Comedy,Darío Grandinetti,122,8.1,77.0,Damián Szifron,177059,"3,107,072"
204,Relatos salvajes,2014,R,Comedy,María Marull,122,8.1,77.0,Damián Szifron,177059,"3,107,072"
204,Relatos salvajes,2014,R,Comedy,Mónica Villa,122,8.1,77.0,Damián Szifron,177059,"3,107,072"
204,Relatos salvajes,2014,R,Comedy,Diego Starosta,122,8.1,77.0,Damián Szifron,177059,"3,107,072"
204,Relatos salvajes,2014,R,Drama,Darío Grandinetti,122,8.1,77.0,Damián Szifron,177059,"3,107,072"
204,Relatos salvajes,2014,R,Drama,María Marull,122,8.1,77.0,Damián Szifron,177059,"3,107,072"
204,Relatos salvajes,2014,R,Drama,Mónica Villa,122,8.1,77.0,Damián Szifron,177059,"3,107,072"
204,Relatos salvajes,2014,R,Drama,Diego Starosta,122,8.1,77.0,Damián Szifron,177059,"3,107,072"
204,Relatos salvajes,2014,R,Thriller,Darío Grandinetti,122,8.1,77.0,Damián Szifron,177059,"3,107,072"
204,Relatos salvajes,2014,R,Thriller,María Marull,122,8.1,77.0,Damián Szifron,177059,"3,107,072"
204,Relatos salvajes,2014,R,Thriller,Mónica Villa,122,8.1,77.0,Damián Szifron,177059,"3,107,072"
204,Relatos salvajes,2014,R,Thriller,Diego Starosta,122,8.1,77.0,Damián Szifron,177059,"3,107,072"
205,Soul,2020,U,Animation,Kemp Powers,100,8.1,83.0,Pete Docter,159171,
205,Soul,2020,U,Animation,Jamie Foxx,100,8.1,83.0,Pete Docter,159171,
205,Soul,2020,U,Animation,Tina Fey,100,8.1,83.0,Pete Docter,159171,
205,Soul,2020,U,Animation,Graham Norton,100,8.1,83.0,Pete Docter,159171,
205,Soul,2020,U,Adventure,Kemp Powers,100,8.1,83.0,Pete Docter,159171,
205,Soul,2020,U,Adventure,Jamie Foxx,100,8.1,83.0,Pete Docter,159171,
205,Soul,2020,U,Adventure,Tina Fey,100,8.1,83.0,Pete Docter,159171,
205,Soul,2020,U,Adventure,Graham Norton,100,8.1,83.0,Pete Docter,159171,
205,Soul,2020,U,Comedy,Kemp Powers,100,8.1,83.0,Pete Docter,159171,
205,Soul,2020,U,Comedy,Jamie Foxx,100,8.1,83.0,Pete Docter,159171,
205,Soul,2020,U,Comedy,Tina Fey,100,8.1,83.0,Pete Docter,159171,
205,Soul,2020,U,Comedy,Graham Norton,100,8.1,83.0,Pete Docter,159171,
206,Kis Uykusu,2014,,Drama,Haluk Bilginer,196,8.1,88.0,Nuri Bilge Ceylan,46547,"165,520"
206,Kis Uykusu,2014,,Drama,Melisa Sözen,196,8.1,88.0,Nuri Bilge Ceylan,46547,"165,520"
206,Kis Uykusu,2014,,Drama,Demet Akbag,196,8.1,88.0,Nuri Bilge Ceylan,46547,"165,520"
206,Kis Uykusu,2014,,Drama,Ayberk Pekcan,196,8.1,88.0,Nuri Bilge Ceylan,46547,"165,520"
207,PK,2014,UA,Comedy,Aamir Khan,153,8.1,,Rajkumar Hirani,163061,"10,616,104"
207,PK,2014,UA,Comedy,Anushka Sharma,153,8.1,,Rajkumar Hirani,163061,"10,616,104"
207,PK,2014,UA,Comedy,Sanjay Dutt,153,8.1,,Rajkumar Hirani,163061,"10,616,104"
207,PK,2014,UA,Comedy,Boman Irani,153,8.1,,Rajkumar Hirani,163061,"10,616,104"
207,PK,2014,UA,Drama,Aamir Khan,153,8.1,,Rajkumar Hirani,163061,"10,616,104"
207,PK,2014,UA,Drama,Anushka Sharma,153,8.1,,Rajkumar Hirani,163061,"10,616,104"
207,PK,2014,UA,Drama,Sanjay Dutt,153,8.1,,Rajkumar Hirani,163061,"10,616,104"
207,PK,2014,UA,Drama,Boman Irani,153,8.1,,Rajkumar Hirani,163061,"10,616,104"
207,PK,2014,UA,Musical,Aamir Khan,153,8.1,,Rajkumar Hirani,163061,"10,616,104"
207,PK,2014,UA,Musical,Anushka Sharma,153,8.1,,Rajkumar Hirani,163061,"10,616,104"
207,PK,2014,UA,Musical,Sanjay Dutt,153,8.1,,Rajkumar Hirani,163061,"10,616,104"
207,PK,2014,UA,Musical,Boman Irani,153,8.1,,Rajkumar Hirani,163061,"10,616,104"
208,OMG: Oh My God!,2012,U,Comedy,Paresh Rawal,125,8.1,,Umesh Shukla,51739,"923,221"
208,OMG: Oh My God!,2012,U,Comedy,Akshay Kumar,125,8.1,,Umesh Shukla,51739,"923,221"
208,OMG: Oh My God!,2012,U,Comedy,Mithun Chakraborty,125,8.1,,Umesh Shukla,51739,"923,221"
208,OMG: Oh My God!,2012,U,Comedy,Mahesh Manjrekar,125,8.1,,Umesh Shukla,51739,"923,221"
208,OMG: Oh My God!,2012,U,Drama,Paresh Rawal,125,8.1,,Umesh Shukla,51739,"923,221"
208,OMG: Oh My God!,2012,U,Drama,Akshay Kumar,125,8.1,,Umesh Shukla,51739,"923,221"
208,OMG: Oh My God!,2012,U,Drama,Mithun Chakraborty,125,8.1,,Umesh Shukla,51739,"923,221"
208,OMG: Oh My God!,2012,U,Drama,Mahesh Manjrekar,125,8.1,,Umesh Shukla,51739,"923,221"
208,OMG: Oh My God!,2012,U,Fantasy,Paresh Rawal,125,8.1,,Umesh Shukla,51739,"923,221"
208,OMG: Oh My God!,2012,U,Fantasy,Akshay Kumar,125,8.1,,Umesh Shukla,51739,"923,221"
208,OMG: Oh My God!,2012,U,Fantasy,Mithun Chakraborty,125,8.1,,Umesh Shukla,51739,"923,221"
208,OMG: Oh My God!,2012,U,Fantasy,Mahesh Manjrekar,125,8.1,,Umesh Shukla,51739,"923,221"
209,The Grand Budapest Hotel,2014,UA,Adventure,Ralph Fiennes,99,8.1,88.0,Wes Anderson,707630,"59,100,318"
209,The Grand Budapest Hotel,2014,UA,Adventure,F. Murray Abraham,99,8.1,88.0,Wes Anderson,707630,"59,100,318"
209,The Grand Budapest Hotel,2014,UA,Adventure,Mathieu Amalric,99,8.1,88.0,Wes Anderson,707630,"59,100,318"
209,The Grand Budapest Hotel,2014,UA,Adventure,Adrien Brody,99,8.1,88.0,Wes Anderson,707630,"59,100,318"
209,The Grand Budapest Hotel,2014,UA,Comedy,Ralph Fiennes,99,8.1,88.0,Wes Anderson,707630,"59,100,318"
209,The Grand Budapest Hotel,2014,UA,Comedy,F. Murray Abraham,99,8.1,88.0,Wes Anderson,707630,"59,100,318"
209,The Grand Budapest Hotel,2014,UA,Comedy,Mathieu Amalric,99,8.1,88.0,Wes Anderson,707630,"59,100,318"
209,The Grand Budapest Hotel,2014,UA,Comedy,Adrien Brody,99,8.1,88.0,Wes Anderson,707630,"59,100,318"
209,The Grand Budapest Hotel,2014,UA,Crime,Ralph Fiennes,99,8.1,88.0,Wes Anderson,707630,"59,100,318"
209,The Grand Budapest Hotel,2014,UA,Crime,F. Murray Abraham,99,8.1,88.0,Wes Anderson,707630,"59,100,318"
209,The Grand Budapest Hotel,2014,UA,Crime,Mathieu Amalric,99,8.1,88.0,Wes Anderson,707630,"59,100,318"
209,The Grand Budapest Hotel,2014,UA,Crime,Adrien Brody,99,8.1,88.0,Wes Anderson,707630,"59,100,318"
210,Gone Girl,2014,A,Drama,Ben Affleck,149,8.1,79.0,David Fincher,859695,"167,767,189"
210,Gone Girl,2014,A,Drama,Rosamund Pike,149,8.1,79.0,David Fincher,859695,"167,767,189"
210,Gone Girl,2014,A,Drama,Neil Patrick Harris,149,8.1,79.0,David Fincher,859695,"167,767,189"
210,Gone Girl,2014,A,Drama,Tyler Perry,149,8.1,79.0,David Fincher,859695,"167,767,189"
210,Gone Girl,2014,A,Mystery,Ben Affleck,149,8.1,79.0,David Fincher,859695,"167,767,189"
210,Gone Girl,2014,A,Mystery,Rosamund Pike,149,8.1,79.0,David Fincher,859695,"167,767,189"
210,Gone Girl,2014,A,Mystery,Neil Patrick Harris,149,8.1,79.0,David Fincher,859695,"167,767,189"
210,Gone Girl,2014,A,Mystery,Tyler Perry,149,8.1,79.0,David Fincher,859695,"167,767,189"
210,Gone Girl,2014,A,Thriller,Ben Affleck,149,8.1,79.0,David Fincher,859695,"167,767,189"
210,Gone Girl,2014,A,Thriller,Rosamund Pike,149,8.1,79.0,David Fincher,859695,"167,767,189"
210,Gone Girl,2014,A,Thriller,Neil Patrick Harris,149,8.1,79.0,David Fincher,859695,"167,767,189"
210,Gone Girl,2014,A,Thriller,Tyler Perry,149,8.1,79.0,David Fincher,859695,"167,767,189"
211,Ôkami kodomo no Ame to Yuki,2012,U,Animation,Aoi Miyazaki,117,8.1,71.0,Mamoru Hosoda,38803,
211,Ôkami kodomo no Ame to Yuki,2012,U,Animation,Takao Osawa,117,8.1,71.0,Mamoru Hosoda,38803,
211,Ôkami kodomo no Ame to Yuki,2012,U,Animation,Haru Kuroki,117,8.1,71.0,Mamoru Hosoda,38803,
211,Ôkami kodomo no Ame to Yuki,2012,U,Animation,Yukito Nishii,117,8.1,71.0,Mamoru Hosoda,38803,
211,Ôkami kodomo no Ame to Yuki,2012,U,Drama,Aoi Miyazaki,117,8.1,71.0,Mamoru Hosoda,38803,
211,Ôkami kodomo no Ame to Yuki,2012,U,Drama,Takao Osawa,117,8.1,71.0,Mamoru Hosoda,38803,
211,Ôkami kodomo no Ame to Yuki,2012,U,Drama,Haru Kuroki,117,8.1,71.0,Mamoru Hosoda,38803,
211,Ôkami kodomo no Ame to Yuki,2012,U,Drama,Yukito Nishii,117,8.1,71.0,Mamoru Hosoda,38803,
211,Ôkami kodomo no Ame to Yuki,2012,U,Fantasy,Aoi Miyazaki,117,8.1,71.0,Mamoru Hosoda,38803,
211,Ôkami kodomo no Ame to Yuki,2012,U,Fantasy,Takao Osawa,117,8.1,71.0,Mamoru Hosoda,38803,
211,Ôkami kodomo no Ame to Yuki,2012,U,Fantasy,Haru Kuroki,117,8.1,71.0,Mamoru Hosoda,38803,
211,Ôkami kodomo no Ame to Yuki,2012,U,Fantasy,Yukito Nishii,117,8.1,71.0,Mamoru Hosoda,38803,
212,Hacksaw Ridge,2016,A,Biography,Andrew Garfield,139,8.1,71.0,Mel Gibson,435928,"67,209,615"
212,Hacksaw Ridge,2016,A,Biography,Sam Worthington,139,8.1,71.0,Mel Gibson,435928,"67,209,615"
212,Hacksaw Ridge,2016,A,Biography,Luke Bracey,139,8.1,71.0,Mel Gibson,435928,"67,209,615"
212,Hacksaw Ridge,2016,A,Biography,Teresa Palmer,139,8.1,71.0,Mel Gibson,435928,"67,209,615"
212,Hacksaw Ridge,2016,A,Drama,Andrew Garfield,139,8.1,71.0,Mel Gibson,435928,"67,209,615"
212,Hacksaw Ridge,2016,A,Drama,Sam Worthington,139,8.1,71.0,Mel Gibson,435928,"67,209,615"
212,Hacksaw Ridge,2016,A,Drama,Luke Bracey,139,8.1,71.0,Mel Gibson,435928,"67,209,615"
212,Hacksaw Ridge,2016,A,Drama,Teresa Palmer,139,8.1,71.0,Mel Gibson,435928,"67,209,615"
212,Hacksaw Ridge,2016,A,History,Andrew Garfield,139,8.1,71.0,Mel Gibson,435928,"67,209,615"
212,Hacksaw Ridge,2016,A,History,Sam Worthington,139,8.1,71.0,Mel Gibson,435928,"67,209,615"
212,Hacksaw Ridge,2016,A,History,Luke Bracey,139,8.1,71.0,Mel Gibson,435928,"67,209,615"
212,Hacksaw Ridge,2016,A,History,Teresa Palmer,139,8.1,71.0,Mel Gibson,435928,"67,209,615"
213,Inside Out,2015,U,Animation,Ronnie Del Carmen,95,8.1,94.0,Pete Docter,616228,"356,461,711"
213,Inside Out,2015,U,Animation,Amy Poehler,95,8.1,94.0,Pete Docter,616228,"356,461,711"
213,Inside Out,2015,U,Animation,Bill Hader,95,8.1,94.0,Pete Docter,616228,"356,461,711"
213,Inside Out,2015,U,Animation,Lewis Black,95,8.1,94.0,Pete Docter,616228,"356,461,711"
213,Inside Out,2015,U,Adventure,Ronnie Del Carmen,95,8.1,94.0,Pete Docter,616228,"356,461,711"
213,Inside Out,2015,U,Adventure,Amy Poehler,95,8.1,94.0,Pete Docter,616228,"356,461,711"
213,Inside Out,2015,U,Adventure,Bill Hader,95,8.1,94.0,Pete Docter,616228,"356,461,711"
213,Inside Out,2015,U,Adventure,Lewis Black,95,8.1,94.0,Pete Docter,616228,"356,461,711"
213,Inside Out,2015,U,Comedy,Ronnie Del Carmen,95,8.1,94.0,Pete Docter,616228,"356,461,711"
213,Inside Out,2015,U,Comedy,Amy Poehler,95,8.1,94.0,Pete Docter,616228,"356,461,711"
213,Inside Out,2015,U,Comedy,Bill Hader,95,8.1,94.0,Pete Docter,616228,"356,461,711"
213,Inside Out,2015,U,Comedy,Lewis Black,95,8.1,94.0,Pete Docter,616228,"356,461,711"
214,Barfi!,2012,U,Comedy,Ranbir Kapoor,151,8.1,,Anurag Basu,75721,"2,804,874"
214,Barfi!,2012,U,Comedy,Priyanka Chopra,151,8.1,,Anurag Basu,75721,"2,804,874"
214,Barfi!,2012,U,Comedy,Ileana D'Cruz,151,8.1,,Anurag Basu,75721,"2,804,874"
214,Barfi!,2012,U,Comedy,Saurabh Shukla,151,8.1,,Anurag Basu,75721,"2,804,874"
214,Barfi!,2012,U,Drama,Ranbir Kapoor,151,8.1,,Anurag Basu,75721,"2,804,874"
214,Barfi!,2012,U,Drama,Priyanka Chopra,151,8.1,,Anurag Basu,75721,"2,804,874"
214,Barfi!,2012,U,Drama,Ileana D'Cruz,151,8.1,,Anurag Basu,75721,"2,804,874"
214,Barfi!,2012,U,Drama,Saurabh Shukla,151,8.1,,Anurag Basu,75721,"2,804,874"
214,Barfi!,2012,U,Romance,Ranbir Kapoor,151,8.1,,Anurag Basu,75721,"2,804,874"
214,Barfi!,2012,U,Romance,Priyanka Chopra,151,8.1,,Anurag Basu,75721,"2,804,874"
214,Barfi!,2012,U,Romance,Ileana D'Cruz,151,8.1,,Anurag Basu,75721,"2,804,874"
214,Barfi!,2012,U,Romance,Saurabh Shukla,151,8.1,,Anurag Basu,75721,"2,804,874"
215,12 Years a Slave,2013,A,Biography,Chiwetel Ejiofor,134,8.1,96.0,Steve McQueen,640533,"56,671,993"
215,12 Years a Slave,2013,A,Biography,Michael Kenneth Williams,134,8.1,96.0,Steve McQueen,640533,"56,671,993"
215,12 Years a Slave,2013,A,Biography,Michael Fassbender,134,8.1,96.0,Steve McQueen,640533,"56,671,993"
215,12 Years a Slave,2013,A,Biography,Brad Pitt,134,8.1,96.0,Steve McQueen,640533,"56,671,993"
215,12 Years a Slave,2013,A,Drama,Chiwetel Ejiofor,134,8.1,96.0,Steve McQueen,640533,"56,671,993"
215,12 Years a Slave,2013,A,Drama,Michael Kenneth Williams,134,8.1,96.0,Steve McQueen,640533,"56,671,993"
215,12 Years a Slave,2013,A,Drama,Michael Fassbender,134,8.1,96.0,Steve McQueen,640533,"56,671,993"
215,12 Years a Slave,2013,A,Drama,Brad Pitt,134,8.1,96.0,Steve McQueen,640533,"56,671,993"
215,12 Years a Slave,2013,A,History,Chiwetel Ejiofor,134,8.1,96.0,Steve McQueen,640533,"56,671,993"
215,12 Years a Slave,2013,A,History,Michael Kenneth Williams,134,8.1,96.0,Steve McQueen,640533,"56,671,993"
215,12 Years a Slave,2013,A,History,Michael Fassbender,134,8.1,96.0,Steve McQueen,640533,"56,671,993"
215,12 Years a Slave,2013,A,History,Brad Pitt,134,8.1,96.0,Steve McQueen,640533,"56,671,993"
216,Rush,2013,UA,Action,Daniel Brühl,123,8.1,74.0,Ron Howard,432811,"26,947,624"
216,Rush,2013,UA,Action,Chris Hemsworth,123,8.1,74.0,Ron Howard,432811,"26,947,624"
216,Rush,2013,UA,Action,Olivia Wilde,123,8.1,74.0,Ron Howard,432811,"26,947,624"
216,Rush,2013,UA,Action,Alexandra Maria Lara,123,8.1,74.0,Ron Howard,432811,"26,947,624"
216,Rush,2013,UA,Biography,Daniel Brühl,123,8.1,74.0,Ron Howard,432811,"26,947,624"
216,Rush,2013,UA,Biography,Chris Hemsworth,123,8.1,74.0,Ron Howard,432811,"26,947,624"
216,Rush,2013,UA,Biography,Olivia Wilde,123,8.1,74.0,Ron Howard,432811,"26,947,624"
216,Rush,2013,UA,Biography,Alexandra Maria Lara,123,8.1,74.0,Ron Howard,432811,"26,947,624"
216,Rush,2013,UA,Drama,Daniel Brühl,123,8.1,74.0,Ron Howard,432811,"26,947,624"
216,Rush,2013,UA,Drama,Chris Hemsworth,123,8.1,74.0,Ron Howard,432811,"26,947,624"
216,Rush,2013,UA,Drama,Olivia Wilde,123,8.1,74.0,Ron Howard,432811,"26,947,624"
216,Rush,2013,UA,Drama,Alexandra Maria Lara,123,8.1,74.0,Ron Howard,432811,"26,947,624"
217,Ford v Ferrari,2019,UA,Action,Matt Damon,152,8.1,81.0,James Mangold,291289,"117,624,028"
217,Ford v Ferrari,2019,UA,Action,Christian Bale,152,8.1,81.0,James Mangold,291289,"117,624,028"
217,Ford v Ferrari,2019,UA,Action,Jon Bernthal,152,8.1,81.0,James Mangold,291289,"117,624,028"
217,Ford v Ferrari,2019,UA,Action,Caitriona Balfe,152,8.1,81.0,James Mangold,291289,"117,624,028"
217,Ford v Ferrari,2019,UA,Biography,Matt Damon,152,8.1,81.0,James Mangold,291289,"117,624,028"
217,Ford v Ferrari,2019,UA,Biography,Christian Bale,152,8.1,81.0,James Mangold,291289,"117,624,028"
217,Ford v Ferrari,2019,UA,Biography,Jon Bernthal,152,8.1,81.0,James Mangold,291289,"117,624,028"
217,Ford v Ferrari,2019,UA,Biography,Caitriona Balfe,152,8.1,81.0,James Mangold,291289,"117,624,028"
217,Ford v Ferrari,2019,UA,Drama,Matt Damon,152,8.1,81.0,James Mangold,291289,"117,624,028"
217,Ford v Ferrari,2019,UA,Drama,Christian Bale,152,8.1,81.0,James Mangold,291289,"117,624,028"
217,Ford v Ferrari,2019,UA,Drama,Jon Bernthal,152,8.1,81.0,James Mangold,291289,"117,624,028"
217,Ford v Ferrari,2019,UA,Drama,Caitriona Balfe,152,8.1,81.0,James Mangold,291289,"117,624,028"
218,Spotlight,2015,A,Biography,Mark Ruffalo,129,8.1,93.0,Tom McCarthy,420316,"45,055,776"
218,Spotlight,2015,A,Biography,Michael Keaton,129,8.1,93.0,Tom McCarthy,420316,"45,055,776"
218,Spotlight,2015,A,Biography,Rachel McAdams,129,8.1,93.0,Tom McCarthy,420316,"45,055,776"
218,Spotlight,2015,A,Biography,Liev Schreiber,129,8.1,93.0,Tom McCarthy,420316,"45,055,776"
218,Spotlight,2015,A,Crime,Mark Ruffalo,129,8.1,93.0,Tom McCarthy,420316,"45,055,776"
218,Spotlight,2015,A,Crime,Michael Keaton,129,8.1,93.0,Tom McCarthy,420316,"45,055,776"
218,Spotlight,2015,A,Crime,Rachel McAdams,129,8.1,93.0,Tom McCarthy,420316,"45,055,776"
218,Spotlight,2015,A,Crime,Liev Schreiber,129,8.1,93.0,Tom McCarthy,420316,"45,055,776"
218,Spotlight,2015,A,Drama,Mark Ruffalo,129,8.1,93.0,Tom McCarthy,420316,"45,055,776"
218,Spotlight,2015,A,Drama,Michael Keaton,129,8.1,93.0,Tom McCarthy,420316,"45,055,776"
218,Spotlight,2015,A,Drama,Rachel McAdams,129,8.1,93.0,Tom McCarthy,420316,"45,055,776"
218,Spotlight,2015,A,Drama,Liev Schreiber,129,8.1,93.0,Tom McCarthy,420316,"45,055,776"
219,Song of the Sea,2014,PG,Animation,David Rawle,93,8.1,85.0,Tomm Moore,51679,"857,524"
219,Song of the Sea,2014,PG,Animation,Brendan Gleeson,93,8.1,85.0,Tomm Moore,51679,"857,524"
219,Song of the Sea,2014,PG,Animation,Lisa Hannigan,93,8.1,85.0,Tomm Moore,51679,"857,524"
219,Song of the Sea,2014,PG,Animation,Fionnula Flanagan,93,8.1,85.0,Tomm Moore,51679,"857,524"
219,Song of the Sea,2014,PG,Adventure,David Rawle,93,8.1,85.0,Tomm Moore,51679,"857,524"
219,Song of the Sea,2014,PG,Adventure,Brendan Gleeson,93,8.1,85.0,Tomm Moore,51679,"857,524"
219,Song of the Sea,2014,PG,Adventure,Lisa Hannigan,93,8.1,85.0,Tomm Moore,51679,"857,524"
219,Song of the Sea,2014,PG,Adventure,Fionnula Flanagan,93,8.1,85.0,Tomm Moore,51679,"857,524"
219,Song of the Sea,2014,PG,Drama,David Rawle,93,8.1,85.0,Tomm Moore,51679,"857,524"
219,Song of the Sea,2014,PG,Drama,Brendan Gleeson,93,8.1,85.0,Tomm Moore,51679,"857,524"
219,Song of the Sea,2014,PG,Drama,Lisa Hannigan,93,8.1,85.0,Tomm Moore,51679,"857,524"
219,Song of the Sea,2014,PG,Drama,Fionnula Flanagan,93,8.1,85.0,Tomm Moore,51679,"857,524"
220,Kahaani,2012,UA,Mystery,Vidya Balan,122,8.1,,Sujoy Ghosh,57806,"1,035,953"
220,Kahaani,2012,UA,Mystery,Parambrata Chattopadhyay,122,8.1,,Sujoy Ghosh,57806,"1,035,953"
220,Kahaani,2012,UA,Mystery,Indraneil Sengupta,122,8.1,,Sujoy Ghosh,57806,"1,035,953"
220,Kahaani,2012,UA,Mystery,Nawazuddin Siddiqui,122,8.1,,Sujoy Ghosh,57806,"1,035,953"
220,Kahaani,2012,UA,Thriller,Vidya Balan,122,8.1,,Sujoy Ghosh,57806,"1,035,953"
220,Kahaani,2012,UA,Thriller,Parambrata Chattopadhyay,122,8.1,,Sujoy Ghosh,57806,"1,035,953"
220,Kahaani,2012,UA,Thriller,Indraneil Sengupta,122,8.1,,Sujoy Ghosh,57806,"1,035,953"
220,Kahaani,2012,UA,Thriller,Nawazuddin Siddiqui,122,8.1,,Sujoy Ghosh,57806,"1,035,953"
221,Zindagi Na Milegi Dobara,2011,U,Comedy,Hrithik Roshan,155,8.1,,Zoya Akhtar,67927,"3,108,485"
221,Zindagi Na Milegi Dobara,2011,U,Comedy,Farhan Akhtar,155,8.1,,Zoya Akhtar,67927,"3,108,485"
221,Zindagi Na Milegi Dobara,2011,U,Comedy,Abhay Deol,155,8.1,,Zoya Akhtar,67927,"3,108,485"
221,Zindagi Na Milegi Dobara,2011,U,Comedy,Katrina Kaif,155,8.1,,Zoya Akhtar,67927,"3,108,485"
221,Zindagi Na Milegi Dobara,2011,U,Drama,Hrithik Roshan,155,8.1,,Zoya Akhtar,67927,"3,108,485"
221,Zindagi Na Milegi Dobara,2011,U,Drama,Farhan Akhtar,155,8.1,,Zoya Akhtar,67927,"3,108,485"
221,Zindagi Na Milegi Dobara,2011,U,Drama,Abhay Deol,155,8.1,,Zoya Akhtar,67927,"3,108,485"
221,Zindagi Na Milegi Dobara,2011,U,Drama,Katrina Kaif,155,8.1,,Zoya Akhtar,67927,"3,108,485"
222,Prisoners,2013,A,Crime,Hugh Jackman,153,8.1,70.0,Denis Villeneuve,601149,"61,002,302"
222,Prisoners,2013,A,Crime,Jake Gyllenhaal,153,8.1,70.0,Denis Villeneuve,601149,"61,002,302"
